file,x_top,y_top,x_bot,y_bot
imagen-43-58,695041.744254731,3086365.36109968,695052.174854731,3086354.93049968
imagen-119-120,695834.469854731,3085718.6638996797,695844.900454731,3085708.2332996796
imagen-53-99,695146.050254731,3085937.70649968,695156.4808547309,3085927.27589968
imagen-83-72,695458.9682547309,3086219.33269968,695469.3988547309,3086208.9020996797
imagen-55-66,695166.9114547309,3086281.91629968,695177.3420547309,3086271.4856996797
imagen-73-48,695354.6622547309,3086469.66709968,695365.0928547309,3086459.2364996797
imagen-185-162,696522.8894547309,3085280.57869968,696533.3200547309,3085270.14809968
imagen-160-151,696262.124454731,3085395.31529968,696272.555054731,3085384.88469968
imagen-88-82,695511.121254731,3086115.02669968,695521.5518547309,3086104.59609968
imagen-59-99,695208.633854731,3085937.70649968,695219.064454731,3085927.27589968
